Incident_Description,Attack_Type,Severity
"User account showing impossible travel login from two continents",account_compromise,high
"Discovered typosquatted package in internal package repository",supply_chain,high
"Security logs show attempt to dump LSASS process memory",credential_theft,high
"Customer reported voice deepfake used in fraudulent support call",deepfake,high
"Detected server-side request forgery attempt on cloud metadata service",SSRF,high
"Employee reported finding hidden camera in office meeting room",physical_security,high
"Network scan revealed Shadow IT cloud services storing company data",shadow_IT,medium
"Malware using DNS over HTTPS to evade network monitoring",malware,medium
"Discovered insider threat indicators in user behavior analytics",insider_threat,high
"Email server showing signs of being used as command and control",C2,high
"Detected attempt to exploit Java deserialization vulnerability",deserialization,high
"User reported cursor moving on its own suggesting remote access",remote_access,high
"Log files show successful LDAP pass-back attack on printer",LDAP_injection,medium
"Discovered malicious QR code stickers placed over legitimate ones",phishing,low
"Network traffic indicates data exfiltration via steganography in images",data_exfiltration,high
"Employee reported business email requesting gift card purchases",BEC,medium
"Detected Golden Ticket attack in Active Directory environment",kerberos_attack,high
"Security assessment found exposed GraphQL endpoint leaking data",API_exposure,medium
"User workstation infected with banking trojan targeting credentials",trojan,high
"Discovered race condition in payment system allowing double spending",race_condition,high
"Physical access logs show door held open beyond security threshold",physical_security,low
"Email analysis revealed polymorphic malware evading signature detection",malware,high
"Network monitoring detected cryptocurrency mining via browser scripts",cryptojacking,low
"Employee reported receiving court summons phishing with malicious link",phishing,medium
"Detected pass-the-hash attack moving laterally through network",lateral_movement,high
"User reported fake Windows update screen locking computer for ransom",ransomware,high
"API logs show GraphQL query attempting to extract entire database",API_abuse,high
"Discovered supply chain compromise through malicious browser update",supply_chain,high
"Security token found hardcoded in mobile application source code",secret_exposure,high
"Network IDS detected exploit attempt for BlueKeep vulnerability",exploit,high
"Employee reported USB charging station in airport installing malware",juice_jacking,medium
"Email header analysis revealed sender spoofing executive email address",email_spoofing,high
"Detected cryptographic downgrade attack on TLS connection",downgrade_attack,medium
"User reported popup demanding payment to unlock encrypted files",ransomware,high
"Log correlation shows signs of APT group TTPs (tactics, techniques)",APT,high
"Discovered IDOR vulnerability allowing access to other users' data",IDOR,high
"Physical security breach: server room door propped open overnight",physical_security,medium
"Network traffic shows large ZIP file upload to personal cloud storage",data_exfiltration,high
"Malware analysis revealed use of process hollowing technique",process_hollowing,high
"Employee fell for fake software update installing remote access tool",trojan,high
"Detected SQL truncation attack bypassing input validation",SQL_injection,medium
"User reported Slack account posting cryptocurrency scams",account_compromise,medium
"Security scan found Spring4Shell vulnerability on application server",vulnerability,high
"Discovered evil twin WiFi access point in company cafeteria",rogue_device,medium
"Email gateway caught spear phishing with malicious ISO file attachment",spear_phishing,high
"Network logs show successful LLMNR poisoning attack",LLMNR_poisoning,medium
"Employee reported finding GPS tracker on company vehicle",physical_security,medium
"Detected attempt to exploit OGNL injection in Apache Struts",exploit,high
"User workstation showing signs of bootkit infection persisting after reboot",bootkit,high
"API rate limiting bypassed using distributed bot network",bot_attack,medium
"Discovered cleartext passwords in application configuration files",misconfiguration,high
"Security audit revealed VPN credentials shared in plain text email",credential_exposure,medium
"Network monitoring detected domain fronting hiding C2 traffic",C2,high
"Employee reported fake charity website using company branding",brand_abuse,low
"Detected privilege escalation using DLL hijacking technique",privilege_escalation,medium
"Customer data found in publicly accessible Kibana dashboard",data_exposure,high
"User reported browser extensions disabled by malware infection",malware,medium
"Email containing homograph domain targeting accounting department",phishing,high
"Network scan detected EternalBlue exploitation attempt",exploit,high
"Physical security: motion sensor triggered in restricted area after hours",physical_security,medium
"Discovered container escape attempt in Kubernetes cluster",container_escape,high
"Employee reported receiving black mail with old password in subject",extortion,medium
"Log analysis shows XXE attack successfully reading system files",XXE,high
"Detected DNS rebinding attack attempting to access internal services",DNS_rebinding,medium
"User account created with admin privileges by unauthorized process",privilege_escalation,high
"Security review found JWT tokens without expiration in API",vulnerability,medium
"Network traffic shows file upload to known malware analysis site",suspicious_activity,low
"Employee reported laser printer printing random binary data",malware,low
"Discovered BGP hijacking affecting company IP address space",BGP_hijacking,high
"Email server logs show attempt to exploit ProxyShell vulnerability",exploit,high
"User reported cursor jacking on banking website",clickjacking,medium
"Detected use of Cobalt Strike beacon on compromised endpoint",C2,high
"Security camera showed unauthorized person in dumpster diving",physical_security,low
"API logs reveal timing attack attempting to enumerate valid users",timing_attack,low
"Discovered local file inclusion vulnerability in web application",LFI,medium
"Network monitoring detected TOR hidden service running on workstation",suspicious_activity,medium
"Employee reported job scam email requesting personal information",phishing,medium
"Malware using DGA (Domain Generation Algorithm) for C2 communication",malware,high
"Detected attempt to exploit PHP object injection vulnerability",object_injection,high
"User reported system restore points deleted by ransomware",ransomware,high
"Security logs show UAC bypass using fodhelper.exe",privilege_escalation,medium
"Discovered MongoDB instance exposed without authentication",misconfiguration,high
"Physical breach: cleaning staff reported finding listening device",physical_security,high
"Network traffic analysis revealed HTTPS certificate pinning bypass",MITM,high
"Employee fell for tech support scam allowing remote desktop access",social_engineering,high
"Detected webshell uploaded through unrestricted file upload",web_shell,high
"Email containing punycode domain impersonating company site",phishing,medium
"User workstation showing signs of fileless PowerShell malware",fileless_malware,high
"API showing signs of broken object level authorization",API_abuse,high
"Discovered Samsung SmartTV in boardroom connecting to unknown server",IoT_compromise,medium
"Security assessment found RCE through unsafe deserialization",deserialization,high
"Network logs show ARP spoofing attack on local subnet",ARP_spoofing,medium
"Employee reported QR code in bathroom leading to malicious site",phishing,low
"Detected attempt to exploit log4shell vulnerability in Java app",exploit,high
"User reported fake browser warning about expired antivirus",scareware,low
"Email gateway blocked ZIP file with LNK file bypassing policies",malware,medium
"Network monitoring shows beacon traffic to Pastebin C2",C2,medium
"Physical security: badge reader showing signs of tampering",physical_security,medium
"Discovered prototype pollution vulnerability in Node.js application",prototype_pollution,medium
"Employee reported vishing caller had internal knowledge of projects",vishing,high
"Log analysis revealed successful NoSQL injection extracting user data",NoSQL_injection,high
"Detected DarkSide ransomware indicators on critical infrastructure",ransomware,high
"User account locked after credential stuffing attack attempt",credential_stuffing,medium
"Security scan found Shellshock vulnerability on legacy system",vulnerability,high
"Network traffic shows HTTP parameter pollution attack attempt",HPP,low
"Employee reported finding rogue Raspberry Pi connected to network",rogue_device,high
"Email header injection attempt detected in contact form",email_injection,low
"Discovered AWS S3 bucket with public write permissions",misconfiguration,high
"User reported advertisement popup covering entire screen",adware,low
"Detected Silver Ticket attack on Kerberos authentication",kerberos_attack,high
"Security logs show scheduled task creation for persistence",persistence,medium
"Network monitoring revealed SSL stripping attack in progress",SSL_stripping,high
"Employee reported deepfake LinkedIn profile using their photo",identity_theft,medium
"API logs show attempt to bypass rate limiting using cache poisoning",cache_poisoning,medium
"Discovered XSLeak attack attempting to extract sensitive data",XSLeak,medium
"Physical security: visitor log shows entry without corresponding exit",physical_security,low
"User workstation compromised with Agent Tesla information stealer",malware,high
"Email containing Microsoft Office document with CVE-2017-0199 exploit",exploit,high
"Network scan detected SMBGhost vulnerability exploitation attempt",exploit,high
"Employee reported finding hardware keylogger on keyboard cable",hardware_keylogger,high
"Detected DOM-based XSS vulnerability being actively exploited",XSS,medium
"Security assessment revealed CORS misconfiguration exposing API",misconfiguration,medium
"User reported system running slowly with unknown process using CPU",cryptojacking,medium
"Log files show successful blind XXE attack exfiltrating data",XXE,high
"Discovered npm package typosquatting popular library name",supply_chain,medium
"Network traffic indicates DNS cache poisoning attack",DNS_poisoning,high
"Employee reported caller claiming to be from Microsoft support",social_engineering,low
"Malware analysis shows use of Heaven's Gate technique",malware,medium
"Detected WebDAV vulnerability exploitation on IIS server",exploit,medium
"User account showing signs of session fixation attack",session_fixation,medium
"API endpoint vulnerable to HTTP request smuggling",request_smuggling,high
"Physical security: tailgating detected at employee entrance",physical_security,low
"Email server logs show backscatter from spoofed email campaign",email_spoofing,medium
"Network monitoring detected Fast Flux DNS for C2 infrastructure",C2,high
"Employee reported finding USB drop in parking lot labeled 'Payroll'",social_engineering,medium
"Detected Zeus banking trojan communication with C2 server",trojan,high
"Security scan revealed Drupalgeddon vulnerability on CMS",vulnerability,high
"User reported browser redirecting to fake virus warning page",browser_hijack,low
"Log analysis shows timing attack on password reset function",timing_attack,medium
"Discovered Firebase database exposed without authentication",misconfiguration,high
"Network IDS detected buffer overflow exploit attempt",exploit,high
"Employee reported smishing text about package delivery with link",smishing,medium
"Email containing COVID-19 themed phishing with malicious attachment",phishing,medium
"Detected pass-the-ticket attack in Active Directory",kerberos_attack,high
"User workstation infected with Raccoon information stealer",malware,high
"API logs show IDOR vulnerability exploitation accessing user records",IDOR,high
"Physical security: server room temperature alarm triggered",physical_security,low
"Network traffic shows ICMP tunnel used for data exfiltration",covert_channel,high
"Employee reported finding AirTag in company vehicle",physical_security,medium
"Discovered XSS vulnerability in third-party JavaScript library",XSS,medium
"Security audit found weak password reset token generation",vulnerability,medium
"User reported fake SSL certificate warning when accessing bank site",MITM,high
"Detected DLL side-loading used to execute malicious code",dll_sideloading,medium
"Email gateway caught business email with spoofed display name",BEC,high
"Network logs show rainbow table attack on password hashes",password_attack,medium
"Employee laptop showing signs of UEFI rootkit infection",rootkit,high
"API showing excessive data exposure in error messages",information_disclosure,low
"Discovered open redirect vulnerability used in phishing campaign",open_redirect,medium
"User reported screen lock bypass using bootable USB",physical_security,medium
"Log files indicate successful cache poisoning via HTTP headers",cache_poisoning,medium
"Network monitoring detected botnet C2 communication via IRC",botnet,high
"Employee reported extortion email with compromising webcam footage claim",sextortion,medium
"Detected attempt to exploit Apache log4j vulnerability",exploit,high
"Security scan found unencrypted backup files on web server",data_exposure,high
"User workstation showing signs of formbook malware infection",malware,high
"Email containing fake shipping notification with tracking link",phishing,medium
"Network traffic analysis shows VPN bypass attempt",VPN_bypass,medium
"Physical security: lock picking tools found near server room",physical_security,high
"Discovered JWT token manipulation allowing privilege escalation",JWT_abuse,high
"Employee reported Bluetooth beacon tracking in office area",privacy_violation,low
"Log analysis revealed RFI (Remote File Inclusion) attack success",RFI,high
"Detected Golden SAML attack on federated authentication",SAML_attack,high
"User reported popup claiming iPhone won in contest",scareware,low
"API logs show broken function level authorization exploitation",API_abuse,high
"Network scan detected PrintNightmare vulnerability on print server",vulnerability,high
"Employee fell for romance scam sharing confidential project details",social_engineering,high
"Email server showing signs of outbound spam campaign",spam,medium
"Discovered container breakout using kernel vulnerability",container_escape,high
"Security assessment found IDN homograph in email gateway whitelist",phishing,medium
"User workstation compromised with Qakbot banking malware",trojan,high
"Network monitoring shows unauthorized SNMP queries from external IP",reconnaissance,low
"Employee reported finding credit card skimmer on cafeteria POS",skimming,high
"Detected clickjacking attack using invisible iframe overlay",clickjacking,medium
"Physical security: motion sensors offline in critical areas",physical_security,medium
"Log files show successful command injection via image EXIF data",command_injection,high
"Email containing fake LinkedIn connection request with malware",social_engineering,medium
"Network traffic indicates SYN flood attack on web servers",DDoS,high
"User reported system files encrypted with .locked extension",ransomware,high
"API endpoint leaking internal server paths in responses",information_disclosure,low
"Discovered TeamViewer installed without IT approval on workstation",shadow_IT,medium
"Security scan revealed multiple WordPress plugins with vulnerabilities",vulnerability,medium
"Employee reported caller requesting employee directory information",social_engineering,low
"Malware sandbox detected VM-aware evasion techniques",malware,medium
"Network logs show DNS query for known sinkhole domain",malware,low
"User account compromise led to internal spear phishing campaign",account_compromise,high
"Detected binary padding used to evade antivirus detection",malware,medium
"Email gateway blocked executable with PDF icon and extension",malware,medium
"Physical security: RFID cloning device found in visitor area",physical_security,high
"Network monitoring shows TLS callback hiding malicious code",malware,high
"Employee reported SMS about account suspension with link",smishing,medium
"Log analysis revealed MongoDB injection extracting collections",NoSQL_injection,high
"Discovered BGP route leak affecting company services",BGP_leak,medium
"User reported cursor replaced with custom image hiding clicks",clickjacking,low
"API showing signs of excessive data exposure through GraphQL",API_exposure,medium
"Security assessment found SSI (Server Side Includes) injection",SSI_injection,medium
"Network traffic shows IRC botnet command and control",botnet,high
"Employee laptop infected after visiting compromised industry site",watering_hole,high
"Email containing DocuSign themed phishing with credential harvester",phishing,high
"Detected Kerberoasting attack harvesting service account hashes",kerberos_attack,high
"User workstation showing Cobalt Strike beacon persistence",APT,high
"Physical security: pressure mat alarm triggered in restricted zone",physical_security,low
"Network scan revealed Java RMI service with known vulnerability",vulnerability,medium
"Employee reported vishing call about IT audit requiring passwords",vishing,high
"Discovered terraform state file exposed in public repository",secret_exposure,high
"Security logs show WMI used for lateral movement",lateral_movement,high
"User reported fake McAfee popup demanding renewal payment",scareware,low
"API logs reveal race condition in voucher redemption system",race_condition,high
"Network monitoring detected double-flux hosting for phishing",phishing,high
"Email server configuration allows open relay from internal network",misconfiguration,medium
"Employee reported finding hidden WiFi pineapple device",rogue_device,high
"Malware using stolen code signing certificate to appear legitimate",malware,high
"Detected CSRF token prediction attack on web application",CSRF,medium
"User account showing impossible travel between login locations",account_compromise,high
"Log files indicate successful XPATH injection attack",XPATH_injection,medium
"Physical security: unauthorized access attempt using cloned badge",physical_security,high
"Network traffic shows exploit kit redirection chain",exploit_kit,high
"Employee fell for fake HR email about policy updates",phishing,medium
"Discovered insecure direct object reference in file download",IDOR,medium
"Security scan found Apache Tomcat manager with default credentials",misconfiguration,high
"User reported browser homepage changed to Russian search engine",browser_hijack,low
"API endpoint vulnerable to verb tampering attack",API_abuse,low
"Network logs show NBNS spoofing attack on Windows network",NBNS_spoofing,medium
"Email containing ransomware disguised as resume attachment",ransomware,high
"Detected DCShadow attack creating rogue domain controller",AD_attack,high
"Employee reported drone with camera hovering near office windows",physical_security,medium
"Web application firewall bypassed using HTTP parameter fragmentation",WAF_bypass,medium
"User workstation compromised with Emotet malware dropper",malware,high
"Security assessment revealed session puzzling vulnerability",session_puzzling,medium
"Network monitoring shows covert data exfiltration via DNS",data_exfiltration,high
"Employee reported finding GPS tracker on personal vehicle",physical_security,high
"Log analysis shows successful HTTP response splitting attack",response_splitting,medium
"Email gateway detected homoglyph attack using Unicode characters",phishing,medium
"Discovered kubernetes dashboard exposed without authentication",misconfiguration,high
"User reported system restore disabled by unknown process",malware,medium
"API logs show attempt to exploit mass assignment vulnerability",mass_assignment,medium
"Physical security: glass break sensor triggered in server room",physical_security,high
"Network traffic indicates LDAP reconnaissance from compromised host",reconnaissance,medium
"Employee received USB device in mail claiming to be from vendor",social_engineering,medium
"Detected process injection using SetWindowsHookEx technique",process_injection,high
"Security scan revealed Citrix NetScaler vulnerability",vulnerability,high
"User account locked after brute force attack from botnet",brute_force,medium
"Email containing fake FedEx delivery notification with link",phishing,medium
"Network logs show successful relay attack on NTLM authentication",relay_attack,high
"Employee reported shoulder surfing attempt at ATM machine",physical_security,low
"Malware analysis revealed use of steganography in image files",malware,medium
"Discovered webpack source map exposing application source code",information_disclosure,medium
"User reported fake Java update popup installing adware",adware,low
"API endpoint vulnerable to XML injection attack",XML_injection,medium
"Network monitoring detected BGP prefix hijacking attempt",BGP_hijacking,high
"Email server logs show header injection in contact form",email_injection,low
"Physical security: tailgating attempt blocked by mantrap system",physical_security,low
"Log files show successful business logic bypass in payment flow",logic_flaw,high
"Employee fell for spear phishing about bonus payments",spear_phishing,high
"Detected use of PSExec for unauthorized remote execution",lateral_movement,high
"Security assessment found formula injection in CSV export",formula_injection,medium
"User workstation showing signs of crypto-ransomware infection",ransomware,high
